,Year,State Name,Dist Name,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
10,1966,Andhra Pradesh,West Godavari,119200.0,964.7533333333334,23.452166666666667,11.243706666666668,19.307906666666668,4894973.500000001,2349536.6133333333,4306972.68,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
11,1966,Assam,Cachar,49577.5,573.505,13.6955875,6.609335,11.60291,1391233.3190000001,667797.99295,1224241.32045,23.75,68.75,6.25,825.0,2.25,19.0
12,1966,Assam,Darrang,57655.0,502.4225,12.216387500000002,5.83342,9.94207,1346594.1799750002,646182.2066,1183572.380975,23.75,68.75,6.25,825.0,2.25,19.0
13,1966,Assam,Goalpara,81900.0,445.76,10.6163325,5.116725,8.8062175,1525897.54665,732466.2226500001,1342452.2417000001,23.75,68.75,6.25,825.0,2.25,19.0
14,1966,Assam,Kamrup,103382.5,497.06,11.6677675,5.649335,9.6269375,1722655.789025,826862.97955,1515143.7964250003,23.75,68.75,6.25,825.0,2.25,19.0
15,1966,Assam,Karbi Anglong,13990.0,628.6,14.930659999999998,7.2307,12.604275000000001,381839.57619999995,182764.80559999996,333402.1186,23.75,68.75,6.25,825.0,2.25,19.0
16,1966,Assam,Lakhimpur,99835.0,761.13,19.52648,9.133560000000001,15.499285,2538660.69215,1217880.3366000003,2229255.63985,23.5,75.0,6.25,1000.0,2.25,19.0
17,1966,Assam,Nagaon,50632.5,524.2674999999999,12.385095,5.995755,10.474225,1113957.2184000001,534717.2649,980191.6523,23.75,68.75,6.25,825.0,2.25,19.0
18,1966,Assam,Sibsagar,60615.0,528.0,12.6375,6.086,10.64725,1494779.625,717478.42,1315301.27,23.75,68.75,6.25,825.0,2.25,19.0
19,1966,Bihar,Bhagalpur,76983.33333333333,627.92,15.450026666666664,7.23612,11.220783333333335,995033.2316999999,459568.1307999999,723202.3127666666,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
20,1966,Bihar,Champaran,143780.0,522.3133333333334,12.34162,5.93724,9.728336666666666,1555850.2911,741573.7024,1322128.2199333336,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
21,1966,Bihar,Darbhanga,138880.0,651.34,15.916816666666668,7.4889399999999995,11.729433333333333,1595576.1469333332,743291.369,1226132.5089333332,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
22,1966,Bihar,Gaya,127463.33333333333,504.57666666666665,12.385526666666665,5.819993333333334,9.14745,956114.0592666665,458133.4303333334,814402.4024333333,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
23,1966,Bihar,Mungair,107126.66666666667,711.3166666666666,18.135373333333334,8.38998,13.20026,2597087.07,1181143.178,1803658.3972000002,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
24,1966,Bihar,Muzaffarpur,130576.66666666667,546.8033333333333,13.366386666666665,6.2829533333333325,9.793033333333332,1295521.3977333333,597683.8533333334,959800.3734666667,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
25,1966,Bihar,Patna,66123.33333333333,587.14,13.827326666666666,6.612866666666666,10.392270000000002,524518.1932333334,250162.29133333336,404874.12943333335,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
26,1966,Bihar,Purnea,156473.33333333334,640.0866666666667,15.89161,7.426593333333333,11.622996666666666,1761204.4603000002,831375.6648666667,1436945.1527666664,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
27,1966,Bihar,Saharsa,60256.666666666664,466.82333333333327,11.459156666666667,5.395466666666667,8.579736666666667,704193.5107,325625.1765333333,530630.7505,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
28,1966,Bihar,Saran,104376.66666666667,650.8833333333333,15.950069999999998,7.470053333333332,11.463589999999998,1657809.3887999998,750924.3012000001,1116980.2779999997,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
29,1966,Bihar,Shahabad (now part of Bhojpur district),179656.66666666666,490.33,11.870376666666667,5.644746666666666,9.1854,1881363.061966667,913189.6842666668,1652605.5558666668,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
