,Year,State Name,Dist Name,Total_Area_ha,Total_Yield_t_per_ha
8943,1969,Punjab,Bhatinda,853459.9999999999,1.2340355728446561
8944,1970,Punjab,Bhatinda,888000.0,1.0486486486486486
8945,1971,Punjab,Bhatinda,809429.9999999998,1.2685470022114331
8946,1972,Punjab,Bhatinda,958519.9999999999,0.9772357384300798
8947,1973,Punjab,Bhatinda,942549.9999999999,0.9887008646756142
8948,1974,Punjab,Bhatinda,830650.0,1.032805634141937
8949,1975,Punjab,Bhatinda,911590.0000000002,1.1223247293191017
8950,1976,Punjab,Bhatinda,887899.9999999999,1.196531140894245
8951,1977,Punjab,Bhatinda,970640.0000000002,1.194572653094865
8952,1978,Punjab,Bhatinda,936860.0000000002,1.289520312533356
8953,1979,Punjab,Bhatinda,905850.0,1.3555224374896506
8954,1980,Punjab,Bhatinda,1016130.0000000001,1.3077066910729924
8955,1981,Punjab,Bhatinda,1016630.0000000002,1.461495332618553
8956,1982,Punjab,Bhatinda,1023250.0000000001,1.4638651355973609
8957,1983,Punjab,Bhatinda,1006189.9999999999,1.3961875987636532
8958,1984,Punjab,Bhatinda,994250.0000000001,1.7337389992456622
8959,1985,Punjab,Bhatinda,1084200.0000000002,1.73424644899465
8960,1986,Punjab,Bhatinda,1078729.9999999998,1.5758530864998659
8961,1987,Punjab,Bhatinda,1054030.0,1.7086800185952962
8962,1988,Punjab,Bhatinda,1073700.0,1.7928657911893453
8963,1989,Punjab,Bhatinda,997689.9999999999,2.1107758923112385
8964,1990,Punjab,Bhatinda,997979.9999999998,2.1159241668169697
8965,1991,Punjab,Bhatinda,1084320.0000000002,2.1328759037922382
8966,1992,Punjab,Bhatinda,987359.9999999997,2.323255955274673
8967,1993,Punjab,Bhatinda,1007360.0000000001,2.560326000635324
8968,1994,Punjab,Bhatinda,1036400.0000000001,2.6121864145117706
8969,1995,Punjab,Bhatinda,1054340.0,2.373247718952141
8970,1996,Punjab,Bhatinda,1100909.9999999998,2.5426419961668083
8971,1997,Punjab,Bhatinda,1097810.0000000005,2.3427004672939757
8972,1998,Punjab,Bhatinda,1168770.0000000002,2.3631937849191873
8973,1999,Punjab,Bhatinda,1206330.0000000002,2.8769988311656007
8974,2000,Punjab,Bhatinda,1213920.0,2.8837649927507583
8975,2001,Punjab,Bhatinda,1223660.0000000002,2.6106679960119634
8976,2002,Punjab,Bhatinda,1216719.9999999998,2.744115326451444
8977,2003,Punjab,Bhatinda,1202780.0,2.850953624104158
8978,2004,Punjab,Bhatinda,1212419.9999999998,2.9356246185315324
8979,2005,Punjab,Bhatinda,1210640.0000000002,2.7905240203528705
8980,2006,Punjab,Bhatinda,1219340.0000000005,2.900241114045302
8981,2007,Punjab,Bhatinda,1221090.0,2.9648428862737393
8982,2008,Punjab,Bhatinda,1248619.9999999998,3.164197273790265
8983,2009,Punjab,Bhatinda,1221320.0000000002,3.0713572200569867
8984,2010,Punjab,Bhatinda,1216259.9999999998,3.279660598885108
8985,2011,Punjab,Bhatinda,1222379.9999999998,3.3332842487606156
8986,2012,Punjab,Bhatinda,1216899.9999999998,3.3126551072397077
8987,2013,Punjab,Bhatinda,1205170.0,3.5218102010504744
8988,2014,Punjab,Bhatinda,1207340.0,3.3108403597992284
8989,2015,Punjab,Bhatinda,1209710.0,3.419067379785238
8990,2016,Punjab,Bhatinda,1198140.0,3.9175889295074033
8991,2017,Punjab,Bhatinda,1210500.0000000002,4.012085914911193
8992,1966,Punjab,Sangrur,672119.9999999999,0.9548890079152534
8993,1967,Punjab,Sangrur,731680.0000000001,1.1715504045484364
8994,1968,Punjab,Sangrur,724569.9999999999,1.3678457567936844
8995,1969,Punjab,Sangrur,752770.0000000001,1.4740226098277025
8996,1970,Punjab,Sangrur,667999.9999999998,1.4342814371257488
8997,1971,Punjab,Sangrur,702359.9999999999,1.6364827154165957
8998,1972,Punjab,Sangrur,717119.9999999999,1.4839915216421242
8999,1973,Punjab,Sangrur,725390.0000000001,1.4506679165690182
9000,1974,Punjab,Sangrur,749740.0000000002,1.4132899405127106
9001,1975,Punjab,Sangrur,780360.0,1.527371982162079
9002,1976,Punjab,Sangrur,756169.9999999999,1.574249176772419
9003,1977,Punjab,Sangrur,781999.9999999999,1.7235294117647062
9004,1978,Punjab,Sangrur,788180.0000000001,1.9465096805298279
9005,1979,Punjab,Sangrur,771129.9999999999,1.9830638154396794
9006,1980,Punjab,Sangrur,793490.0,2.042747860716581
9007,1981,Punjab,Sangrur,824950.0,2.0926116734347535
9008,1982,Punjab,Sangrur,818560.0000000001,2.316873534010946
9009,1983,Punjab,Sangrur,802390.0000000001,2.4898116875833445
9010,1984,Punjab,Sangrur,811970.0,2.643139524859293
9011,1985,Punjab,Sangrur,838620.0,2.8394266771600964
9012,1986,Punjab,Sangrur,845960.0,2.6657288760697906
